"Location","Grid_ID","Longitude","Latitude","Site_Code","StationID","StationNum","Block","Depth","Type"
"HO",2,-82.77385,28.695595,"HO","HO-2","2","1","0-6'","Target"
"HO",299,-82.81938,28.760291,"HO","HO-299","299","10","0-6'","Target"
"HO",277,-82.839825,28.756105,"HO","HO-277","277","10","0-6'","Target"
"HO",313,-82.86856,28.764044,"HO","HO-313","313","11","0-6'","Target"
"HO",307,-82.753851,28.760672,"HO","HO-307","307","11","0-6'","Target"
"HO",338,-82.807156,28.768485,"HO","HO-338","338","12","0-6'","Target"
"HO",405,-82.774508,28.784917,"HO","HO-405","405","14","0-6'","Target"
"HO",393,-82.856438,28.784422,"HO","HO-393","393","14","0-6'","Target"
"HO",477,-82.778726,28.801134,"HO","HO-477","477","16","0-6'","Target"
"HO",488,-82.815632,28.804976,"HO","HO-488","488","17","0-6'","Target"
"HO",533,-82.82389,28.813046,"HO","HO-533","533","18","0-6'","Target"
"HO",566,-82.778846,28.817374,"HO","HO-566","566","19","0-6'","Target"
"HO",42,-82.728882,28.703966,"HO","HO-42","42","2","0-6'","Target"
"HO",584,-82.803464,28.82129,"HO","HO-584","584","20","0-6'","Target"
"HO",658,-82.758475,28.833731,"HO","HO-658","658","22","0-6'","Target"
"HO",674,-82.7708,28.837721,"HO","HO-674","674","23","0-6'","Target"
"HO",683,-82.828213,28.841441,"HO","HO-683","683","23","0-6'","Target"
"HO",700,-82.758534,28.841851,"HO","HO-700","700","24","0-6'","Target"
"HO",750,-82.775049,28.857998,"HO","HO-750","750","25","0-6'","Target"
"HO",747,-82.746324,28.8541,"HO","HO-747","747","25","0-6'","Target"
"HO",758,-82.742254,28.858182,"HO","HO-758","758","26","0-6'","Target"
"HO",849,-82.77425,28.886166,"HO","HO-849","849","29","0-6'","Target"
"HO",864,-82.770096,28.890182,"HO","HO-864","864","29","0-6'","Target"
"HO",63,-82.782157,28.711789,"HO","HO-63","63","3","0-6'","Target"
"HO",71,-82.745313,28.711997,"HO","HO-71","71","3","0-6'","Target"
"HO",923,-82.874752,28.704652,"HO","HO-923","923","31","6-12'","Target"
"HO",939,-82.878812,28.708737,"HO","HO-939","939","32","6-12'","Target"
"HO",983,-82.763732,28.728033,"HO","HO-983","983","33","6-12'","Target"
"HO",971,-82.878728,28.716841,"HO","HO-971","971","33","6-12'","Target"
"HO",1011,-82.853644,28.761213,"HO","HO-1011","1011","34","6-12'","Target"
"HO",1023,-82.841246,28.769216,"HO","HO-1023","1023","35","6-12'","Target"
"HO",1072,-82.857063,28.826078,"HO","HO-1072","1072","36","6-12'","Target"
"HO",1075,-82.88983,28.834445,"HO","HO-1075","1075","36","6-12'","Target"
"HO",1120,-82.803279,28.862102,"HO","HO-1120","1120","38","6-12'","Target"
"HO",113,-82.749465,28.720094,"HO","HO-113","113","4","0-6'","Target"
"HO",1183,-82.860529,28.886891,"HO","HO-1183","1183","40","6-12'","Target"
"HO",1212,-82.860443,28.894995,"HO","HO-1212","1212","41","6-12'","Target"
"HO",1231,-82.741241,28.898032,"HO","HO-1231","1231","42","6-12'","Target"
"HO",1239,-82.753427,28.910298,"HO","HO-1239","1239","42","6-12'","Target"
"HO",126,-82.761777,28.724086,"HO","HO-126","126","5","0-6'","Target"
"HO",160,-82.778213,28.732113,"HO","HO-160","160","6","0-6'","Target"
"HO",182,-82.778244,28.736173,"HO","HO-182","182","7","0-6'","Target"
"HO",194,-82.815127,28.740016,"HO","HO-194","194","7","0-6'","Target"
"HO",220,-82.766019,28.744363,"HO","HO-220","220","8","0-6'","Target"
"HO",258,-82.831602,28.752096,"HO","HO-258","258","9","0-6'","Target"
"HO",1148,-82.803189,28.870206,"HO","HO-1148","1148","39","6-12'","Extra"
"HO",1041,-82.8657,28.785625,"HO","HO-1041","1041","35","6-12'","Extra"
"HO",1228,-82.765894,28.89825,"HO","HO-1228","1228","41","6-12'","Extra"
"HO",806,-82.787501,28.878226,"HO","HO-806","806","27","0-6'","Extra"
"HO",443,-82.758181,28.79313,"HO","HO-443","443","15","0-6'","Extra"
"HO",523,-82.774689,28.809277,"HO","HO-523","523","18","0-6'","Extra"
"HO",358,-82.774419,28.772737,"HO","HO-358","358","12","0-6'","Extra"
"HO",880,-82.728342,28.946545,"HO","HO-880","880","30","0-6'","Extra"
"HO",473,-82.795114,28.801038,"HO","HO-473","473","16","0-6'","Extra"
"HO",237,-82.802904,28.748209,"HO","HO-237","237","8","0-6'","Extra"
