"Location","Grid_ID","Longitude","Latitude","Site_Code","StationID","StationNum","Block","Depth","Type"
"PA",363,-82.769375,28.372544,"PA","PA-363","363","12B","0-6'","Target"
"PA",376,-82.74492,28.37674,"PA","PA-376","376","13A","0-6'","Target"
"PA",384,-82.744948,28.380801,"PA","PA-384","384","13B","0-6'","Target"
"PA",398,-82.757248,28.388854,"PA","PA-398","398","14A","0-6'","Target"
"PA",413,-82.728707,28.39307,"PA","PA-413","413","14B","0-6'","Target"
"PA",430,-82.749172,28.40108,"PA","PA-430","430","15A","0-6'","Target"
"PA",450,-82.716545,28.405316,"PA","PA-450","450","15C","0-6'","Target"
"PA",482,-82.732956,28.41741,"PA","PA-482","482","16B","0-6'","Target"
"PA",527,-82.716709,28.429678,"PA","PA-527","527","18","0-6'","Target"
"PA",NA,-82.826506,28.165293,NA,"PA-D552","D552","19","6-12'","Target"
"PA",1,-82.820772,28.157037,NA,"PA-1","1","1A","0-6'","Target"
"PA",NA,-82.879883,28.217747,"PA","PA-D651","D651","22","6-12'","Target"
"PA",NA,-82.875808,28.217773,"PA","PA-D652","D652","23","6-12'","Target"
"PA",NA,-82.822994,28.238404,"PA","PA-D733","D733","25","6-12'","Target"
"PA",NA,-82.884192,28.246143,"PA","PA-D762","D762","26","6-12'","Target"
"PA",NA,-82.802738,28.254766,"PA","PA-D829","D829","28","6-12'","Target"
"PA",NA,-82.859966,28.274721,"PA","PA-D907","D907","31","6-12'","Target"
"PA",NA,-82.847799,28.282918,"PA","PA-D940","D940","32","6-12'","Target"
"PA",NA,-82.827602,28.307405,"PA","PA-D1051","D1051","36","6-12'","Target"
"PA",NA,-82.786851,28.311706,"PA","PA-D1088","D1088","37","6-12'","Target"
"PA",NA,-82.79096,28.315743,"PA","PA-D1114","D1114","38","6-12'","Target"
"PA",67,-82.796789,28.218087,"PA","PA-67","67","3A","0-6'","Target"
"PA",91,-82.772399,28.226348,"PA","PA-91","91","3B","0-6'","Target"
"PA",NA,-82.836076,28.347958,"PA","PA-D1307","D1307","44","6-12'","Target"
"PA",NA,-82.868944,28.376175,"PA","PA-D1485","D1485","50","6-12'","Target"
"PA",NA,-82.815958,28.384624,"PA","PA-D1557","D1557","53","6-12'","Target"
"PA",NA,-82.783339,28.388875,"PA","PA-D1595","D1595","54","6-12'","Target"
"PA",NA,-82.844686,28.404751,"PA","PA-D1681","D1681","57","6-12'","Target"
"PA",154,-82.772692,28.266952,"PA","PA-154","154","5A","0-6'","Target"
"PA",167,-82.772721,28.271013,"PA","PA-167","167","5B","0-6'","Target"
"PA",NA,-82.844879,28.429112,"PA","PA-D1845","D1845","62","6-12'","Target"
"PA",NA,-82.812217,28.429311,"PA","PA-D1853","D1853","63","6-12'","Target"
"PA",193,-82.789148,28.287161,"PA","PA-193","193","6A","0-6'","Target"
"PA",215,-82.776975,28.295352,"PA","PA-215","215","7A","0-6'","Target"
"PA",250,-82.768936,28.311639,"PA","PA-250","250","8","0-6'","Target"
"PA",288,-82.818062,28.335716,"PA","PA-288","288","9B","0-6'","Target"
"PA",NA,-82.820289,28.417081,"PA","PA-D1773","D1773","60","6-12'","Extra"
"PA",500,-82.773839,28.425305,"PA","PA-500","500","17","0-6'","Extra"
"PA",145,-82.756357,28.262983,"PA","PA-145","145","4B","0-6'","Extra"
"PA",NA,-82.831302,28.258656,"PA","PA-D845","D845","29","6-12'","Extra"
"PA",207,-82.75248,28.291428,"PA","PA-207","207","6B","0-6'","Extra"
"PA",NA,-82.795765,28.413166,"PA","PA-D1748","D1748","59","6-12'","Extra"
"PA",300,-82.765061,28.340084,"PA","PA-300","300","10","0-6'","Extra"
"PA",480,-82.741121,28.417366,"PA","PA-480","480","16A","0-6'","Extra"
"PA",330,-82.773338,28.35628,"PA","PA-330","330","11B","0-6'","Extra"
"PA",350,-82.761156,28.364469,"PA","PA-350","350","12A","0-6'","Extra"
"PA",NA,-82.771419,28.433608,"PA","PA-D1892","D1892","64","6-12'","Extra"
"PA",312,-82.785518,28.348089,"PA","PA-312","312","11A","0-6'","Extra"
"PA",116,-82.792894,28.242473,"PA","PA-116","116","4A","0-6'","Extra"
"PA",17,-82.816884,28.181424,"PA","PA-17","17","1B","0-6'","Extra"
"PA",435,-82.720599,28.401234,"PA","PA-435","435","15B","0-6'","Extra"
"PA",NA,-82.820101,28.39272,"PA","PA-D1614","D1614","55","6-12'","Extra"
"PA",NA,-82.868515,28.323392,"PA","PA-D1148","D1148","39","6-12'","Extra"
"PA",NA,-82.823775,28.339912,"PA","PA-D1259","D1259","43","6-12'","Extra"
"PA",37,-82.829261,28.201652,"PA","PA-37","37","2A","0-6'","Extra"
"PA",NA,-82.884695,28.307047,"PA","PA-D1037","D1037","35","6-12'","Extra"
"PA",NA,-82.827163,28.25056,"PA","PA-D799","D799","27","6-12'","Extra"
"PA",NA,-82.819104,28.26279,"PA","PA-D868","D868","30","6-12'","Extra"
"PA",NA,-82.831081,28.230234,"PA","PA-D693","D693","24","6-12'","Extra"
"PA",NA,-82.795431,28.368503,"PA","PA-D1445","D1445","49","6-12'","Extra"
"PA",NA,-82.864239,28.299057,"PA","PA-D998","D998","34","6-12'","Extra"
